id,titles,primary_title,year,rating,num_votes
tt0113987,Nixon,Nixon,1995,7.1,28366
tt0114011,Now and Then%The Gaslight Addition,Now and Then,1995,6.8,26620
tt0114048,Operation Dumbo Drop%Dumbo Drop,Operation Dumbo Drop,1995,5.1,8378
tt0114057,Othello,Othello,1995,6.9,8918
tt0114069,Outbreak,Outbreak,1995,6.6,117601
tt0114126,Pik lik foh%Thunderbolt,Thunderbolt,1995,6.4,8155
tt0114134,The Pillow Book,The Pillow Book,1996,6.7,12227
tt0114148,Pocahontas%Pocahontas: 10th Anniversary Edition%The Legend of Pocahontas,Pocahontas,1995,6.7,166530
tt0114151,Poison Ivy II,Poison Ivy II,1996,4.5,5400
tt0114168,Powder,Powder,1995,6.6,28149
tt0114194,Seraphim%The Prophecy,The Prophecy,1995,6.5,28571
tt0114214,The Quick and the Dead,The Quick and the Dead,1995,6.4,83793
tt0114234,Rangeela%Bollywood Dreams%Colorful,Colorful,1995,7.5,9010
tt0114272,Restoration,Restoration,1995,6.6,8781
tt0114279,Richard III,Richard III,1995,7.4,13585
tt0114287,Rob Roy,Rob Roy,1995,6.9,40014
tt0114319,Sabrina,Sabrina,1995,6.3,36047
tt0114323,Safe,Safe,1995,7.2,13043
tt0114345,The Scarlet Letter,The Scarlet Letter,1995,5.3,14209
tt0114367,Claw%Screamers,Screamers,1995,6.4,24690
tt0114369,The Seven Deadly Sins%Se7en%Seven,Se7en,1995,8.6,1406338
tt0114388,Sense and Sensibility,Sense and Sensibility,1995,7.6,99849
tt0114436,Showgirls,Showgirls,1995,4.9,61184
tt0114478,Smoke,Smoke,1995,7.4,32633
tt0114496,Kings of Carolina%Game of Love%Sisters%Something to Talk About,Something to Talk About,1995,5.7,12495
tt0114508,Species,Species,1995,5.8,72977
tt0114558,Strange Days%Strange Days 1999,Strange Days,1995,7.2,66137
tt0114563,Street Fighter II: The Animated Movie%Sutorîto Faitâ II gekijô-ban,Street Fighter II: The Animated Movie,1994,7.3,7970
tt0114576,Sudden Death,Sudden Death,1995,5.8,31647
tt0114594,Swimming with Sharks,Swimming with Sharks,1994,7.1,21631
tt0114608,Tales from the Crypt: Demon Knight%Demon Knight%Tales from the Crypt Presents: Demon Knight,Tales from the Crypt: Demon Knight,1995,6.7,20968
tt0114609,Boys Do Get Bruised%Hard-Core Convert%KKK Comeuppance%Rogue Cop Revelation%Welcome to My Mortuary%Tales from the Hood,Tales from the Hood,1995,6.4,6680
tt0114614,Tank Girl,Tank Girl,1995,5.4,29828
tt0114660,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,1995,6.8,25769
tt0114681,To Die For,To Die For,1995,6.8,42919
tt0114682,"To Wong Foo Thanks for Everything, Julie Newmar","To Wong Foo Thanks for Everything, Julie Newmar",1995,6.6,27983
tt0114694,"Big Time%Fat Chance%Tommy Boy%Rocky Road%Billy the Third, a Mid-western%X-L",Tommy Boy,1995,7.1,75092
tt0114702,Total Eclipse,Total Eclipse,1995,6.6,13075
tt0114709,Toy Story%Toy Story in 3-D,Toy Story,1995,8.3,866760
tt0114733,Tromeo and Juliet,Tromeo and Juliet,1996,6.1,5672
tt0114746,12 Monkeys%Twelve Monkeys,12 Monkeys,1995,8.0,569643
tt0114781,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,1995,5.5,43153
tt0114787,Underground,Underground,1995,8.1,54313
tt0114814,The Usual Suspects,The Usual Suspects,1995,8.5,971271
tt0114825,Vampire in Brooklyn%Wes Craven's Vampire In Brooklyn,Vampire in Brooklyn,1995,4.6,21208
tt0114852,John Carpenter's Village of the Damned%Village of the Damned,Village of the Damned,1995,5.7,28218
tt0114857,Virtuosity,Virtuosity,1995,5.6,27516
tt0114863,To vlemma tou Odyssea%Ulysses' Gaze,Ulysses' Gaze,1995,7.6,6104
tt0114885,Waiting to Exhale,Waiting to Exhale,1995,5.9,9373
tt0114887,A Walk in the Clouds,A Walk in the Clouds,1995,6.7,31045
tt0114898,Waterworld,Waterworld,1995,6.2,177488
tt0114906,Faggots and Retards%Welcome to the Dollhouse%Welcome to the Doll House,Welcome to the Dollhouse,1995,7.4,31382
tt0114916,When Night Is Falling,When Night Is Falling,1995,6.5,6507
tt0114924,While You Were Sleeping%Coma Guy,While You Were Sleeping,1995,6.7,89830
tt0114938,Wild Bill,Wild Bill,1995,5.9,6382
tt0115433,101 Dalmatians,101 Dalmatians,1996,5.7,99519
tt0115438,2 Days in the Valley,2 Days in the Valley,1996,6.5,18235
tt0115472,The Adventures of Pinocchio,The Adventures of Pinocchio,1996,5.2,5259
tt0115493,Alaska,Alaska,1996,5.7,5052
tt0115495,Albino Alligator,Albino Alligator,1996,6.1,7499
tt0115509,All Dogs Go to Heaven II%All Dogs Go to Heaven 2,All Dogs Go to Heaven 2,1996,5.5,5437
tt0115561,The Apartment%L'appartement,The Apartment,1996,7.4,13457
tt0115571,The Arrival%The Making of the Arrival%Shockwave,The Arrival,1996,6.3,31775
tt0115580,The Associate,The Associate,1996,6.2,7386
tt0115610,Bad Moon%Thor,Bad Moon,1996,5.9,5778
tt0115624,Barb Wire%Barb·Wire,Barb Wire,1996,3.3,24748
tt0115632,Basquiat,Basquiat,1996,6.9,19270
tt0115639,Beautiful Girls,Beautiful Girls,1996,7.1,30941
tt0115640,Beautiful Thing,Beautiful Thing,1996,7.5,22337
tt0115641,Beavis and Butt-Head Do America,Beavis and Butt-Head Do America,1996,6.8,50749
tt0115644,Bed of Roses%Amelia and the King of Plants,Bed of Roses,1996,6.1,7778
tt0115645,Before and After,Before and After,1996,6.1,8058
tt0115678,Big Night,Big Night,1996,7.3,17375
tt0115683,Biodome%Bio-Dome,Bio-Dome,1996,4.5,25711
tt0115685,The Birdcage,The Birdcage,1996,7.1,78407
tt0115697,Black Sheep,Black Sheep,1996,6.3,36035
tt0115710,Blood and Wine,Blood and Wine,1996,6.0,9064
tt0115725,Bogus,Bogus,1996,5.4,6107
tt0115734,Bottle Rocket,Bottle Rocket,1996,7.0,68634
tt0115736,The Business%Bound,Bound,1996,7.3,49689
tt0115738,Box of Moonlight,Box of Moonlight,1996,7.3,5275
tt0115744,Brassed Off!%Brassed Off,Brassed Off,1996,7.1,18367
tt0115751,Breaking the Waves,Breaking the Waves,1996,7.8,61284
tt0115759,Broken Arrow,Broken Arrow,1996,6.1,89570
tt0115781,Bullet,Bullet,1996,6.5,7709
tt0115783,Bulletproof,Bulletproof,1996,5.8,34702
tt0115798,The Cable Guy,The Cable Guy,1996,6.1,150329
tt0115819,"Cannibal, The Musical%Alferd Packer: The Musical%Cannibal! The Musical%Cannibal: The Musical",Cannibal! The Musical,1993,7.1,11580
tt0115851,Celtic Pride,Celtic Pride,1996,5.3,9455
tt0115857,Dead Drop%Chain Reaction,Chain Reaction,1996,5.7,47337
tt0115862,The Chamber,The Chamber,1996,6.0,12466
tt0115906,The Devil Inside%Precious%Waiting to Inhale%Meet Ruth Stoops%Citizen Ruth,Citizen Ruth,1996,7.0,7186
tt0115907,City Hall,City Hall,1996,6.2,19354
tt0115940,Conte d'été%A Summer's Tale,A Summer's Tale,1996,7.6,6271
tt0115956,Courage Under Fire,Courage Under Fire,1996,6.6,49417
tt0115963,The Craft,The Craft,1996,6.4,74493
tt0115964,Crash,Crash,1996,6.4,50887
tt0115986,The Crow: City of Angels%The Crow 2,The Crow: City of Angels,1996,4.7,18928
tt0115988,The Crucible,The Crucible,1996,6.8,34666
tt0116000,D3: The Mighty Ducks,D3: The Mighty Ducks,1996,5.5,24174
tt0116040,Daylight,Daylight,1996,5.9,65262
tt0116075,The Dentist,The Dentist,1996,5.3,8197
tt0116095,Diabolique,Diabolique,1996,5.5,13206
tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.6,47217
tt0116130,Down Periscope,Down Periscope,1996,6.2,20733
tt0116136,DragonHeart,DragonHeart,1996,6.5,90032
tt0116147,Drive,Drive,1997,6.8,5352
tt0116151,Dunston Checks In,Dunston Checks In,1996,5.4,11766
tt0116165,Mickey's Monkey%Ed,Ed,1996,2.7,8068
tt0116168,Eddie,Eddie,1996,5.2,9157
tt0116191,Emma,Emma,1996,6.6,35296
tt0116209,The English Patient,The English Patient,1996,7.4,175824
tt0116213,Eraser,Eraser,1996,6.1,102144
tt0116225,John Carpenter's Escape from L.A.%Escape from L.A.,Escape from L.A.,1996,5.8,68585
tt0116231,Eskiya%The Bandit,The Bandit,1996,8.2,62158
tt0116242,Everyone Says I Love You%Woody Allen Fall Project 1995,Everyone Says I Love You,1996,6.7,34878
tt0116250,Evita,Evita,1996,6.3,33630
tt0116253,Executive Decision%Executive Action,Executive Decision,1996,6.4,49861
tt0116259,Extreme Measures,Extreme Measures,1996,6.2,16813
tt0116260,Eye for an Eye,Eye for an Eye,1996,6.2,13224
tt0116277,The Fan,The Fan,1996,5.9,45556
tt0116282,Fargo,Fargo,1996,8.1,602361
tt0116287,Fear%No Fear,Fear,1996,6.3,40136
tt0116289,Feeling Minnesota,Feeling Minnesota,1996,5.4,10416
tt0116311,First Kid,First Kid,1996,5.3,10047
tt0116313,The First Wives Club,The First Wives Club,1996,6.4,42458
tt0116320,Perseguidos%Fled,Fled,1996,5.4,8431
tt0116322,Flipper,Flipper,1996,5.3,10035
tt0116324,Flirting with Disaster,Flirting with Disaster,1996,6.7,17481
tt0116329,Father Goose%Fly Away Home%Flying Wild,Fly Away Home,1996,6.8,23230
tt0116353,Foxfire,Foxfire,1996,6.2,8475
tt0116361,Freeway,Freeway,1996,6.8,25957
tt0116365,The Frighteners%Robert Zemeckis Presents: The Frighteners,The Frighteners,1996,7.1,80643
tt0116367,From Dusk Till Dawn,From Dusk Till Dawn,1996,7.2,281760
tt0116378,The Funeral,The Funeral,1996,6.6,8123
tt0116404,Get on the Bus,Get on the Bus,1996,6.7,5050
tt0116409,The Ghost and the Darkness,The Ghost and the Darkness,1996,6.8,55489
tt0116410,Ghosts of Mississippi,Ghosts of Mississippi,1996,6.7,9976
tt0116414,Girl 6,Girl 6,1996,5.1,5817
tt0116421,The Glimmer Man,The Glimmer Man,1996,5.4,18545
tt0116448,The Great White Hype,The Great White Hype,1996,5.5,8331
tt0116477,Hamlet%William Shakespeare's Hamlet,Hamlet,1996,7.7,35595
